w1,threshold,alpha_l2,w2_no_l3,w2_l3,w3_l3,pearson_r,rmse,mae
0.45,0.8,0.7,0.55,0.385,0.165,0.4051,0.1288,0.0896
0.1,0.55,0.4,0.9,0.36,0.54,0.4051,0.1375,0.1024
0.5,0.85,0.7,0.5,0.35,0.15,0.4051,0.1299,0.092
0.5,0.85,0.5,0.5,0.25,0.25,0.405,0.1317,0.0922
0.4,0.8,0.5,0.6,0.3,0.3,0.4049,0.1288,0.0867
0.15,0.8,0.5,0.85,0.425,0.425,0.4048,0.1275,0.0876
0.45,0.8,0.6,0.55,0.33,0.22,0.4047,0.1288,0.0885
0.15,0.55,0.7,0.85,0.595,0.255,0.4045,0.1382,0.1029
0.45,0.75,0.5,0.55,0.275,0.275,0.4043,0.1287,0.0911
0.5,0.55,0.6,0.5,0.3,0.2,0.404,0.1308,0.0946
0.5,0.55,0.5,0.5,0.25,0.25,0.4038,0.1308,0.0948
0.1,0.85,0.7,0.9,0.63,0.27,0.4036,0.1294,0.0916
0.35,0.75,0.4,0.65,0.26,0.39,0.4031,0.1282,0.0899
0.5,0.75,0.7,0.5,0.35,0.15,0.403,0.1294,0.0931
0.5,0.55,0.7,0.5,0.35,0.15,0.4029,0.1311,0.0946
0.15,0.75,0.4,0.85,0.34,0.51,0.4029,0.1276,0.0931
0.5,0.55,0.4,0.5,0.2,0.3,0.4024,0.1309,0.0953
0.5,0.75,0.6,0.5,0.3,0.2,0.402,0.1294,0.0931
0.1,0.8,0.7,0.9,0.63,0.27,0.4018,0.1303,0.0968
0.1,0.55,0.7,0.9,0.63,0.27,0.4008,0.1406,0.1058
0.35,0.7,0.7,0.65,0.455,0.195,0.4004,0.1295,0.0954
0.5,0.85,0.4,0.5,0.2,0.3,0.4004,0.1337,0.0929
0.5,0.8,0.7,0.5,0.35,0.15,0.4003,0.1297,0.0916
0.3,0.7,0.7,0.7,0.49,0.21,0.4002,0.1299,0.0965
0.45,0.8,0.5,0.55,0.275,0.275,0.4,0.1297,0.0885
0.4,0.75,0.4,0.6,0.24,0.36,0.3992,0.1289,0.0905
0.4,0.7,0.7,0.6,0.42,0.18,0.3992,0.1294,0.0947
0.5,0.8,0.6,0.5,0.3,0.2,0.3989,0.13,0.0913
0.25,0.7,0.7,0.75,0.525,0.225,0.3987,0.1307,0.0985
0.15,0.85,0.4,0.85,0.34,0.51,0.3978,0.1307,0.0852
0.1,0.8,0.5,0.9,0.45,0.45,0.3977,0.1279,0.0893
0.5,0.75,0.5,0.5,0.25,0.25,0.3976,0.1299,0.0935
0.1,0.75,0.4,0.9,0.36,0.54,0.3975,0.128,0.0948
0.45,0.7,0.7,0.55,0.385,0.165,0.3967,0.1296,0.0941
0.35,0.7,0.6,0.65,0.39,0.26,0.3967,0.1289,0.0947
0.3,0.7,0.6,0.7,0.42,0.28,0.3967,0.1291,0.0958
0.2,0.7,0.7,0.8,0.56,0.24,0.3958,0.1318,0.1008
0.4,0.7,0.6,0.6,0.36,0.24,0.3953,0.129,0.0942
0.35,0.8,0.4,0.65,0.26,0.39,0.3952,0.1299,0.0854
0.3,0.8,0.4,0.7,0.28,0.42,0.3951,0.1295,0.0845
0.25,0.7,0.6,0.75,0.45,0.3,0.3951,0.1296,0.0977
0.45,0.75,0.4,0.55,0.22,0.33,0.3944,0.1298,0.0918
0.5,0.8,0.5,0.5,0.25,0.25,0.3942,0.1309,0.0914
0.35,0.65,0.7,0.65,0.455,0.195,0.3932,0.1308,0.0959
0.5,0.7,0.7,0.5,0.35,0.15,0.3932,0.1302,0.095
0.4,0.8,0.4,0.6,0.24,0.36,0.3932,0.1306,0.0868
0.4,0.65,0.7,0.6,0.42,0.18,0.3927,0.1305,0.0952
0.25,0.8,0.4,0.75,0.3,0.45,0.3927,0.1293,0.0847
0.3,0.65,0.7,0.7,0.49,0.21,0.3926,0.1315,0.0971
0.45,0.7,0.6,0.55,0.33,0.22,0.3926,0.1294,0.0938
0.2,0.7,0.6,0.8,0.48,0.32,0.392,0.1305,0.0999
0.15,0.7,0.7,0.85,0.595,0.255,0.3914,0.1333,0.1033
0.45,0.65,0.7,0.55,0.385,0.165,0.391,0.1306,0.0945
0.25,0.65,0.7,0.75,0.525,0.225,0.3907,0.1325,0.0991
0.45,0.8,0.4,0.55,0.22,0.33,0.3898,0.1314,0.0888
0.5,0.7,0.6,0.5,0.3,0.2,0.3889,0.1301,0.0951
0.5,0.75,0.4,0.5,0.2,0.3,0.3888,0.1309,0.0944
0.5,0.65,0.7,0.5,0.35,0.15,0.3882,0.131,0.0953
0.2,0.65,0.7,0.8,0.56,0.24,0.3876,0.1338,0.1014
0.2,0.8,0.4,0.8,0.32,0.48,0.3875,0.1293,0.0854
0.15,0.7,0.6,0.85,0.51,0.34,0.3872,0.1316,0.1024
0.35,0.65,0.6,0.65,0.39,0.26,0.3869,0.1305,0.0954
0.35,0.7,0.5,0.65,0.325,0.325,0.3869,0.1291,0.0944
0.1,0.85,0.4,0.9,0.36,0.54,0.3867,0.131,0.0859
0.4,0.65,0.6,0.6,0.36,0.24,0.3865,0.1303,0.0948
0.4,0.7,0.5,0.6,0.3,0.3,0.3863,0.1293,0.0942
0.3,0.65,0.6,0.7,0.42,0.28,0.3861,0.1309,0.0965
0.3,0.7,0.5,0.7,0.35,0.35,0.3859,0.1292,0.0952
0.1,0.7,0.7,0.9,0.63,0.27,0.3858,0.135,0.1058
0.5,0.8,0.4,0.5,0.2,0.3,0.3852,0.1324,0.0919
0.45,0.65,0.6,0.55,0.33,0.22,0.3849,0.1306,0.0944
0.45,0.7,0.5,0.55,0.275,0.275,0.3844,0.1298,0.0941
0.4,0.6,0.7,0.6,0.42,0.18,0.3842,0.1326,0.096
0.25,0.65,0.6,0.75,0.45,0.3,0.3841,0.1317,0.0985
0.35,0.6,0.7,0.65,0.455,0.195,0.3838,0.1332,0.0968
0.45,0.6,0.7,0.55,0.385,0.165,0.3836,0.1323,0.0953
0.15,0.65,0.7,0.85,0.595,0.255,0.3833,0.1354,0.1039
0.25,0.7,0.5,0.75,0.375,0.375,0.3832,0.1296,0.0969
0.5,0.65,0.6,0.5,0.3,0.2,0.3823,0.1311,0.0956
0.3,0.6,0.7,0.7,0.49,0.21,0.3823,0.1342,0.098
0.5,0.6,0.7,0.5,0.35,0.15,0.3819,0.1324,0.096
0.5,0.7,0.5,0.5,0.25,0.25,0.3814,0.1306,0.0953
0.1,0.7,0.6,0.9,0.54,0.36,0.3808,0.1331,0.1049
0.2,0.65,0.6,0.8,0.48,0.32,0.3807,0.1327,0.1008
0.25,0.6,0.7,0.75,0.525,0.225,0.3798,0.1355,0.1001
0.15,0.8,0.4,0.85,0.34,0.51,0.3791,0.1295,0.0865
0.2,0.7,0.5,0.8,0.4,0.4,0.3786,0.1303,0.0991
0.1,0.65,0.7,0.9,0.63,0.27,0.378,0.1374,0.1065
